Technique,Target,Model,MAPE,RMSE
gensim word embeddings,LaborHours,Support Vector Regressor,1.3598538352055682,1.0484777069108742
gensim word embeddings,LaborHours,MLP Regressor,2.1030983874880156,1.1972051653325082
gensim word embeddings,LaborHours,XGBoost Regressor,1.6699165222423527,1.1134361160491892
gensim word embeddings,LaborHours,LGBM Regressor,1.3217853571579405,1.0533192679785242
Doc2Vec word embeddings,PartCosts,Linear Regression,2.830073714131935,1.0164938500422949
Doc2Vec word embeddings,PartCosts,Ridge Regression,2.6341192002516145,1.015731251847518
Doc2Vec word embeddings,PartCosts,Lasso Regression,1.0659771153160569,1.00543978572508
Doc2Vec word embeddings,PartCosts,ElasticNet,1.0659771153160569,1.00543978572508
Doc2Vec word embeddings,PartCosts,Decision Tree Regressor,14.291465038507543,1.4424089491286658
Doc2Vec word embeddings,PartCosts,Random Forest Regressor,3.794559509141075,1.0258129680303114
Doc2Vec word embeddings,PartCosts,Extra Trees Regressor,2.7969061527819603,1.024757379515376
Doc2Vec word embeddings,PartCosts,Gradient Boosting Regressor,2.8472457655104346,1.0239090524283891
Doc2Vec word embeddings,PartCosts,AdaBoost Regressor,1.0856809445477065,1.0072889391812359
Doc2Vec word embeddings,PartCosts,K-Nearest Neighbors Regressor,4.47484765082256,1.1027642361392
Doc2Vec word embeddings,PartCosts,Support Vector Regressor,3.8484152580941884,1.063137800570358
Doc2Vec word embeddings,PartCosts,MLP Regressor,7.6143621743893055,1.3358425108549994
Doc2Vec word embeddings,PartCosts,XGBoost Regressor,10.0853400678919,1.1129805146517004
Doc2Vec word embeddings,PartCosts,LGBM Regressor,3.1530660299863382,1.0398182151246074
Doc2Vec word embeddings,LaborHours,Linear Regression,1.1326577609630755,1.0216234997826705
Doc2Vec word embeddings,LaborHours,Ridge Regression,1.1171180952542081,1.019864680058678
Doc2Vec word embeddings,LaborHours,Lasso Regression,1.0004401844887398,1.003531432775669
Doc2Vec word embeddings,LaborHours,ElasticNet,1.0004401844887398,1.003531432775669
Doc2Vec word embeddings,LaborHours,Decision Tree Regressor,3.055979432721316,1.3879453140643385
Doc2Vec word embeddings,LaborHours,Random Forest Regressor,1.145652736095791,1.0171376343138265
Doc2Vec word embeddings,LaborHours,Extra Trees Regressor,1.1533717025717978,1.018782754240478
Doc2Vec word embeddings,LaborHours,Gradient Boosting Regressor,1.16115665109352,1.0145451533893919
Doc2Vec word embeddings,LaborHours,AdaBoost Regressor,1.0310973760575561,1.0061199473533942
Doc2Vec word embeddings,LaborHours,K-Nearest Neighbors Regressor,1.6398071778046657,1.117881786108397
Doc2Vec word embeddings,LaborHours,Support Vector Regressor,1.4160214939122238,1.0469034259309162
Doc2Vec word embeddings,LaborHours,MLP Regressor,2.6272149022001066,1.3301564799280063
Doc2Vec word embeddings,LaborHours,XGBoost Regressor,1.6592506207476014,1.1127895761145246
Doc2Vec word embeddings,LaborHours,LGBM Regressor,1.3939925519700616,1.0434477665238133
LDA,PartCosts,Linear Regression,1.0663924285923696,1.0057914433483208
LDA,PartCosts,Ridge Regression,1.148072934310308,1.0061102566881244
LDA,PartCosts,Lasso Regression,1.0659771153160569,1.00543978572508
LDA,PartCosts,ElasticNet,1.0659771153160569,1.00543978572508
LDA,PartCosts,Decision Tree Regressor,7.288321220838461,1.4297846432267074
LDA,PartCosts,Random Forest Regressor,2.4797309671149685,1.0288966657625538
LDA,PartCosts,Extra Trees Regressor,1.8800050855145758,1.0655219107962393
LDA,PartCosts,Gradient Boosting Regressor,1.234001630827146,1.0104810058350635
LDA,PartCosts,AdaBoost Regressor,1.1825245832315427,1.0070055570916465
LDA,PartCosts,K-Nearest Neighbors Regressor,4.0026313216963,1.1031462944370882
LDA,PartCosts,Support Vector Regressor,2.014912358357889,1.038833366212927
LDA,PartCosts,MLP Regressor,1.9816104066124633,1.0458390199456808
LDA,PartCosts,XGBoost Regressor,4.0042549105583465,1.0854939870352383
LDA,PartCosts,LGBM Regressor,1.7399932275194208,1.035231026052364
LDA,LaborHours,Linear Regression,1.032297957454492,1.0048632311183157
LDA,LaborHours,Ridge Regression,1.0254231712591964,1.0039460897180947
LDA,LaborHours,Lasso Regression,1.0004401844887398,1.003531432775669
LDA,LaborHours,ElasticNet,1.0004401844887398,1.003531432775669
LDA,LaborHours,Decision Tree Regressor,3.3625159260989603,1.4167528123491417
LDA,LaborHours,Random Forest Regressor,1.210279802851514,1.026364803855707
LDA,LaborHours,Extra Trees Regressor,1.399741553528778,1.0464371421574716
LDA,LaborHours,Gradient Boosting Regressor,1.1042844846336692,1.0044095472393557
LDA,LaborHours,AdaBoost Regressor,1.0032826476276748,1.0032404490815878
LDA,LaborHours,K-Nearest Neighbors Regressor,1.7668060227916758,1.101718021574706
LDA,LaborHours,Support Vector Regressor,1.3646946888235947,1.0463974532732325
LDA,LaborHours,MLP Regressor,1.2953418923485978,1.03111600364098
LDA,LaborHours,XGBoost Regressor,1.5813944823135264,1.091128286946899
LDA,LaborHours,LGBM Regressor,1.260344336737706,1.0338717075424664
BERT,PartCosts,Linear Regression,6.253989762136196,1.1042157436978701
BERT,PartCosts,Ridge Regression,6.262800286084876,1.1001260811715887
BERT,PartCosts,Lasso Regression,1.0659771153160569,1.00543978572508
BERT,PartCosts,ElasticNet,1.0659771153160569,1.00543978572508
BERT,PartCosts,Decision Tree Regressor,10.270831858133711,1.3726427274331592
BERT,PartCosts,Random Forest Regressor,2.2503053545180722,1.0136220100908335
BERT,PartCosts,Extra Trees Regressor,1.2732301493211158,1.0196169917501632
BERT,PartCosts,Gradient Boosting Regressor,1.6445846409132436,1.0177535389723074
BERT,PartCosts,AdaBoost Regressor,1.3549466501062435,1.0045998734344914
BERT,PartCosts,K-Nearest Neighbors Regressor,3.7111408148208476,1.0873046169863556
BERT,PartCosts,Support Vector Regressor,3.8032355461117935,1.0526508143693534
BERT,PartCosts,MLP Regressor,4.399523305906359,1.3126476282681248
BERT,PartCosts,XGBoost Regressor,4.732414664608932,1.1026806046608406
BERT,PartCosts,LGBM Regressor,2.590153328019335,1.0439960915207773
BERT,LaborHours,Linear Regression,1.9109999007521945,1.128949469613663
BERT,LaborHours,Ridge Regression,1.882597388518092,1.1247026669231535
BERT,LaborHours,Lasso Regression,1.0004401844887398,1.003531432775669
BERT,LaborHours,ElasticNet,1.0004401844887398,1.003531432775669
BERT,LaborHours,Decision Tree Regressor,2.8523414631615847,1.4066826843513247
BERT,LaborHours,Random Forest Regressor,1.1117867450097412,1.0188281400888244
BERT,LaborHours,Extra Trees Regressor,1.1462889303505486,1.0163902745993738
BERT,LaborHours,Gradient Boosting Regressor,1.1684900365737358,1.018472001846083
BERT,LaborHours,AdaBoost Regressor,1.0187500153589026,1.0038838585930447
BERT,LaborHours,K-Nearest Neighbors Regressor,1.7674137953308724,1.0869420027443015
BERT,LaborHours,Support Vector Regressor,1.4373713591744526,1.058822611373009
BERT,LaborHours,MLP Regressor,2.5256496546572276,1.3260125973766612
BERT,LaborHours,XGBoost Regressor,1.5211795415409604,1.0893752779809112
BERT,LaborHours,LGBM Regressor,1.3278917842578792,1.036502511775625
GPT,PartCosts,Linear Regression,5.063303056409072,1.113925496447329
GPT,PartCosts,Ridge Regression,4.899561929342632,1.107792975135109
GPT,PartCosts,Lasso Regression,1.0659771153160569,1.00543978572508
GPT,PartCosts,ElasticNet,1.0659771153160569,1.00543978572508
GPT,PartCosts,Decision Tree Regressor,9.450952560555619,1.4324467573348134
GPT,PartCosts,Random Forest Regressor,1.8514453225814613,1.015560853361298
GPT,PartCosts,Extra Trees Regressor,1.712095197649487,1.0217778801726625
GPT,PartCosts,Gradient Boosting Regressor,3.0650460949411222,1.0160254857598616
GPT,PartCosts,AdaBoost Regressor,1.2307166184025347,1.0057105379053715
GPT,PartCosts,K-Nearest Neighbors Regressor,3.477327783187238,1.1083216759241463
GPT,PartCosts,Support Vector Regressor,3.7967686224257813,1.068766451900191
GPT,PartCosts,MLP Regressor,4.8868316743561735,1.3759295135952163
GPT,PartCosts,XGBoost Regressor,7.039716336492541,1.097707446917789
GPT,PartCosts,LGBM Regressor,3.2481663257370363,1.0505091920659937
GPT,LaborHours,Linear Regression,1.6286383758838354,1.133769766603147
GPT,LaborHours,Ridge Regression,1.6068990368048863,1.1239667045762871
GPT,LaborHours,Lasso Regression,1.0004401844887398,1.003531432775669
GPT,LaborHours,ElasticNet,1.0004401844887398,1.003531432775669
GPT,LaborHours,Decision Tree Regressor,3.467718575168918,1.441043852467946
GPT,LaborHours,Random Forest Regressor,1.1221499311961103,1.0211519273107992
GPT,LaborHours,Extra Trees Regressor,1.1979749767403938,1.0158260567670776
GPT,LaborHours,Gradient Boosting Regressor,1.2135241272972417,1.013307596099243
GPT,LaborHours,AdaBoost Regressor,1.014364915046386,1.0053853070094578
GPT,LaborHours,K-Nearest Neighbors Regressor,1.6796105273127162,1.0856041256177225
GPT,LaborHours,Support Vector Regressor,1.3922502477831775,1.0471865751736447
GPT,LaborHours,MLP Regressor,2.5351439215445755,1.3311333697665504
GPT,LaborHours,XGBoost Regressor,1.7699889199802286,1.0999015638249745
GPT,LaborHours,LGBM Regressor,1.2706199105524982,1.0273304908275687
